Station,Date,Wind Spd (mph),Temp (°F),Daily Max Temp (°F),Max RH (%),Soil Moist (%),Soil Temp (°F)
GLS7600-Walden,12/31/24,0.2,27,37,96,30,32.9
TAH7300-DL Bliss,12/31/24,1,31.6,39.1,89,5.5,32.8
MUL1296-Woodfords,12/31/24,1.9,30.7,43.9,80,2.1,39.5
TPZ1261–Park Ranch,12/31/24,2.1,32.5,42.7,88,6.6,39.5
POR31-Iron Horse,12/31/24,0.4,29.5,39.6,98,42.9,35.8
619Line-Sierra Valley West,12/31/24,1.5,31.3,38.8,93,,58.9
SQV8200-Squaw Valley,12/31/24,1.4,25.6,40,92,30.5,32.4
CEM41-Garbage Pit Rd,12/31/24,3.1,31.2,38.2,90,6.3,41.1
CAL204-Dog Valley,12/31/24,1,30.6,38.2,93,16.2,37.6
TRK7203-Northstar Golf Course,12/31/24,1.5,28.2,41.4,94,42.1,34.8
Hobart Sub,12/31/24,0.6,29,41.2,99,18.7,34.3
SRB51-Smithneck Rd,12/31/24,3.6,30.6,37,88,49.8,42.3
Muller1296-Emigrant Trail,12/31/24,4.3,30.8,39.6,82,9.5,32.4
STL3101 Ledge Ct.,12/31/24,1.7,31,39.1,70,4.8,34.7
TAH7300-Homewood,12/31/24,0.1,27.8,38.9,95,11.1,32.7
7400-Glenshire,12/31/24,1.1,27.3,40.8,95,4.8,35.2
MEY3300-Grass Lake Road,12/31/24,1,27,42.8,88,10.6,32.8
WSH201-Floriston,12/31/24,1.2,29,42.5,92,14.8,35.1
Washoe204-Fariad,12/31/24,2.8,30.1,39.8,94,27.3,36.6
MEY3400-Camp Richardson,12/31/24,1.2,29.1,39.4,95,8.8,34.5
MEY3500-STPD Office,12/31/24,0.5,28,43,94,12.4,37.1
621Line-I-80 Gravel Pit,12/31/24,1.6,29.5,42.7,95,5.1,36.2
7201-Alpine Meadows,12/31/24,0.5,26,39.4,96,21.1,32.9
MUL1296-Markleeville,12/31/24,0.3,29.1,42,93,9,37.6
TPZ1261-Eastside Lane,12/31/24,4.3,31.9,45.3,75,6.1,40.2
MEY3300-Tolteca,12/31/24,2.2,30.9,40.9,74,,
TAH-5201 Lake Forest,12/31/24,0.7,28.4,40,93,19.4,33.1
Tahoe-7300 Sugar Pine Point,12/31/24,0.6,29.4,40,90,17.3,33.2
SOK-257 Reno Park,12/31/24,3.3,31.7,39.7,87,8.3,37.3
SMP8700-Firecamp,12/31/24,0.4,28.4,40.4,94,,
TAH5201-Fairway,12/31/24,1.1,27.8,38.8,93,,
TPZ1261 Cunningham,12/31/24,1.9,29.4,41,89,,
MUL1296-Sorensens,12/31/24,2.5,23.2,41.9,90,,
POR32 4th Avenue,12/31/24,0.9,30.4,40.5,96,25.4,38.7
GLS7600-Walden,12/30/24,0.2,25.8,31.4,95,32.9,32.7
TAH7300-DL Bliss,12/30/24,1.2,29.5,32.4,88,5.7,32.8
MUL1296-Woodfords,12/30/24,1.7,31.8,40.4,86,2.2,40.5
TPZ1261–Park Ranch,12/30/24,3.4,35.5,43.1,86,6.6,41.1
POR31-Iron Horse,12/30/24,0.7,31.4,38.4,98,44.6,37
619Line-Sierra Valley West,12/30/24,2.8,33.2,38.9,96,,58.9
SQV8200-Squaw Valley,12/30/24,0.6,28.2,35.1,96,35.9,32.3
CEM41-Garbage Pit Rd,12/30/24,3.3,33.1,39.4,90,6.4,41.8
CAL204-Dog Valley,12/30/24,1.6,33.2,38.7,89,20.8,38.9
TRK7203-Northstar Golf Course,12/30/24,1.1,26.9,34.8,95,44.3,35.6
Hobart Sub,12/30/24,0.2,27.6,36.9,99,19.6,34.6
SRB51-Smithneck Rd,12/30/24,3.4,31.9,39.3,90,49.6,43.1
Muller1296-Emigrant Trail,12/30/24,4.4,32.2,37.5,83,12.6,33.9
STL3101 Ledge Ct.,12/30/24,1,28.7,33.2,85,5.2,35
TAH7300-Homewood,12/30/24,0.2,29.3,34.9,96,13.8,32.5
7400-Glenshire,12/30/24,0.6,26.7,36,96,4.9,35.9
MEY3300-Grass Lake Road,12/30/24,0.9,27,40.3,96,11,33.4
WSH201-Floriston,12/30/24,1,29.9,37.3,92,15.7,37.3
Washoe204-Fariad,12/30/24,3.2,31.3,37,94,28.7,38.4
MEY3400-Camp Richardson,12/30/24,1.1,28.4,36.2,96,9.2,35.3
MEY3500-STPD Office,12/30/24,0.4,28.2,37.6,96,13.6,37.4
621Line-I-80 Gravel Pit,12/30/24,0.9,28.9,37.5,95,5.5,36.4
7201-Alpine Meadows,12/30/24,0.4,28.6,35.7,99,21.4,32.6
MUL1296-Markleeville,12/30/24,0.4,30.2,39.8,93,9.7,38.9
TPZ1261-Eastside Lane,12/30/24,5,33.3,39.2,79,6.2,41.6
MEY3300-Tolteca,12/30/24,1.3,29.6,39.4,90,,
TAH-5201 Lake Forest,12/30/24,0.2,28.6,36.7,96,20.6,32.7
Tahoe-7300 Sugar Pine Point,12/30/24,0.5,29.4,35,96,19.2,34.4
SOK-257 Reno Park,12/30/24,3.8,32.5,37.2,91,8.5,38.9
SMP8700-Firecamp,12/30/24,0.3,27.6,36.4,96,,
TAH5201-Fairway,12/30/24,0.5,28.7,35.2,96,,
TPZ1261 Cunningham,12/30/24,2.7,31.8,40.7,86,,
MUL1296-Sorensens,12/30/24,1.4,21.2,31.2,91,,
POR32 4th Avenue,12/30/24,1.1,32.2,39.4,98,27.4,40.2
GLS7600-Walden,12/29/24,2.8,32.4,38.6,97,35.4,32.5
TAH7300-DL Bliss,12/29/24,6.3,35.4,42.6,94,6,32.8
MUL1296-Woodfords,12/29/24,13.2,43.6,51.9,87,2.4,42.3
TPZ1261–Park Ranch,12/29/24,12.3,51,60.4,85,6.6,45.4
POR31-Iron Horse,12/29/24,2.1,38.7,44.2,97,44.5,38.4
619Line-Sierra Valley West,12/29/24,10.2,40.6,45.4,94,,58.9
SQV8200-Squaw Valley,12/29/24,8.9,35.8,40.2,95,35.8,32.4
CEM41-Garbage Pit Rd,12/29/24,10.2,41.1,46.7,90,5.9,42.9
CAL204-Dog Valley,12/29/24,7.5,42.3,48.9,90,17,41.5
TRK7203-Northstar Golf Course,12/29/24,8.2,37.1,43.3,93,40.8,37.9
Hobart Sub,12/29/24,3.4,35.8,41.9,99,21.8,35.8
SRB51-Smithneck Rd,12/29/24,7.5,40.2,46,92,43.2,43.9
Muller1296-Emigrant Trail,12/29/24,19.3,45.6,54,82,14,38.8
STL3101 Ledge Ct.,12/29/24,7.2,34.2,42.8,96,8.3,35.8
TAH7300-Homewood,12/29/24,3.2,36,42.4,93,17.9,32.3
7400-Glenshire,12/29/24,3.5,36.3,43.8,96,5.3,36.6
MEY3300-Grass Lake Road,12/29/24,3.8,35.8,44.9,95,12,34.2
WSH201-Floriston,12/29/24,6,39.5,48.3,90,16.7,39.2
Washoe204-Fariad,12/29/24,13.6,41.1,49.6,87,30.4,40.8
MEY3400-Camp Richardson,12/29/24,9.5,38,44.6,91,10,36.4
MEY3500-STPD Office,12/29/24,3.6,36.9,43.7,96,16.8,37.7
621Line-I-80 Gravel Pit,12/29/24,5.9,36.9,43.5,94,6.1,37.5
7201-Alpine Meadows,12/29/24,3.8,35.1,39.3,97,23.6,32.3
MUL1296-Markleeville,12/29/24,7.6,42.2,47.8,88,11.6,40.9
TPZ1261-Eastside Lane,12/29/24,16.4,47.4,56.6,77,6.1,46.1
MEY3300-Tolteca,12/29/24,6.4,35.4,41.8,90,,
TAH-5201 Lake Forest,12/29/24,2.8,35,39.9,96,22.8,32.7
Tahoe-7300 Sugar Pine Point,12/29/24,2.2,35.1,43,97,21.6,34.1
SOK-257 Reno Park,12/29/24,13.7,40.2,46.6,90,8.6,41.2
SMP8700-Firecamp,12/29/24,2.2,35.8,41.2,96,,
TAH5201-Fairway,12/29/24,4.7,35.4,40.3,96,,
TPZ1261 Cunningham,12/29/24,12.4,48.3,58.5,81,,
MUL1296-Sorensens,12/29/24,3.8,35.3,43.2,91,,
POR32 4th Avenue,12/29/24,2.6,39.3,44.9,96,29.1,42.2
GLS7600-Walden,12/28/24,2.7,39.2,44.5,90,35.1,32.7
TAH7300-DL Bliss,12/28/24,5.1,41.8,45.7,87,6,33.2
MUL1296-Woodfords,12/28/24,12,50.6,55.2,65,2,43.2
TPZ1261–Park Ranch,12/28/24,5.5,56.4,62.3,54,6.6,46.6
Meyers3400-Uplands,12/28/24,9.3,39.7,45.1,95,14,35.4
111Line-Columbine Trail,12/28/24,1.6,39.5,45.1,95,9,33.3
POR31-Iron Horse,12/28/24,3.8,44,48.4,96,42.8,37.8
619Line-Sierra Valley West,12/28/24,7.3,46.2,50.8,85,,58.9
SQV8200-Squaw Valley,12/28/24,12.6,41.1,44.4,89,35.7,32.5
CEM41-Garbage Pit Rd,12/28/24,11.6,48.5,53.8,73,5.2,43.6
CAL204-Dog Valley,12/28/24,13,48.7,53,73,8.6,42.3
TRK7203-Northstar Golf Course,12/28/24,9.8,44.1,48.4,81,38.3,39.4
Hobart Sub,12/28/24,4.5,41.6,45.7,97,20.1,36.1
SRB51-Smithneck Rd,12/28/24,7.5,47.5,52.5,73,34,44.1
TRK7202-Cabin Tree,12/28/24,4.5,40.3,45,96,41.4,33.6
Muller1296-Emigrant Trail,12/28/24,14,52.6,57.4,63,10.9,43.2
STL3101 Ledge Ct.,12/28/24,9.2,41.5,46.3,84,4.7,37.7
TAH7300-Homewood,12/28/24,4.2,41.3,45.2,89,11.7,32.4
7400-Glenshire,12/28/24,3.4,41.4,47.4,97,4.8,37.4
MEY3300-Grass Lake Road,12/28/24,2.5,40.8,46,95,11.2,36.5
WSH201-Floriston,12/28/24,4.3,46,51.7,88,15.1,42.2
Washoe204-Fariad,12/28/24,11.3,47.8,51,81,27.5,41.3
MEY3400-Camp Richardson,12/28/24,4.2,44.5,51.1,88,9.1,36.4
MEY3500-STPD Office,12/28/24,2.9,42.5,47.2,90,10,39.4
621Line-I-80 Gravel Pit,12/28/24,4.8,41.7,46.9,94,5.3,39
7201-Alpine Meadows,12/28/24,5.6,39.8,43.1,95,23.3,32.4
MUL1296-Markleeville,12/28/24,8.6,47.6,53.4,71,8.8,41.8
TPZ1261-Eastside Lane,12/28/24,8.8,53.3,59,54,6,48.8
MEY3300-Tolteca,12/28/24,6.6,39.8,43.6,90,,
TAH-5201 Lake Forest,12/28/24,1,40,44.5,97,22.4,32.9
Tahoe-7300 Sugar Pine Point,12/28/24,1.6,39.9,43.9,95,20.6,35.2
SOK-257 Reno Park,12/28/24,10.8,47.6,54.2,78,8.1,42.3
SMP8700-Firecamp,12/28/24,3.2,42.1,48,94,,
TAH5201-Fairway,12/28/24,2.6,39.8,45.3,96,,
TPZ1261 Cunningham,12/28/24,14.2,54.8,58.6,52,,
MUL1296-Sorensens,12/28/24,4.3,41,76.6,84,,
POR32 4th Avenue,12/28/24,3.1,45,50,89,25.3,43.4
GLS7600-Walden,12/27/24,2.1,37.2,41.9,94,33.8,32.8
TAH7300-DL Bliss,12/27/24,6.1,39.6,42.9,90,5.8,32.8
MUL1296-Woodfords,12/27/24,14.1,48.6,51.9,77,2.2,42.1
TPZ1261–Park Ranch,12/27/24,12.4,55.7,60.2,58,6.4,44.7
Meyers3400-Uplands,12/27/24,13.9,37.6,42.7,100,14.6,34.2
111Line-Columbine Trail,12/27/24,3.7,41.7,44.3,100,9.3,32.7
POR31-Iron Horse,12/27/24,3.6,42,48.6,98,43.7,36.7
619Line-Sierra Valley West,12/27/24,9.1,44.8,50.6,93,,58.9
SQV8200-Squaw Valley,12/27/24,11.7,39.1,42.4,98,35.2,32.3
CEM41-Garbage Pit Rd,12/27/24,12.3,46.5,51.3,78,5.2,42.2
CAL204-Dog Valley,12/27/24,9.2,47.2,52.3,77,8.6,41.2
TRK7203-Northstar Golf Course,12/27/24,6.8,41.6,46.2,88,42.3,37.3
Hobart Sub,12/27/24,3,39.4,45.6,100,20.1,35
SRB51-Smithneck Rd,12/27/24,7.3,45.5,50.9,78,34,43
TRK7202-Cabin Tree,12/27/24,5.1,38.2,43,98,41,33.4
Muller1296-Emigrant Trail,12/27/24,20.4,50.9,58.2,76,13.2,41.7
STL3101 Ledge Ct.,12/27/24,9.4,39.1,43.3,96,8,35.4
TAH7300-Homewood,12/27/24,4.4,39.1,42.9,98,11.6,32.5
7400-Glenshire,12/27/24,3.9,39.5,45.1,95,4.9,36.1
MEY3300-Grass Lake Road,12/27/24,3.4,39.1,46.1,93,12.7,35.4
WSH201-Floriston,12/27/24,6.5,44.2,49.2,90,16.3,41.2
Washoe204-Fariad,12/27/24,15.5,45.6,49.8,81,28.6,39.7
MEY3400-Camp Richardson,12/27/24,9.1,42.9,48,87,9.9,35.2
MEY3500-STPD Office,12/27/24,3.4,41.8,46.5,95,10.9,38.2
621Line-I-80 Gravel Pit,12/27/24,5.1,40.5,46.6,94,5.9,38
7201-Alpine Meadows,12/27/24,6.8,37.8,41.2,100,22.6,32.6
MUL1296-Markleeville,12/27/24,7.4,45.7,51.8,86,11.9,40
TPZ1261-Eastside Lane,12/27/24,12.6,51.5,56,64,6,47.4
MEY3300-Tolteca,12/27/24,6.5,38.8,42.3,93,,
TAH-5201 Lake Forest,12/27/24,2.1,38.6,43.8,96,22.3,32.9
Tahoe-7300 Sugar Pine Point,12/27/24,2.2,38.6,44,95,23.2,33.8
SOK-257 Reno Park,12/27/24,15.5,46.7,52,78,8.1,40.5
SMP8700-Firecamp,12/27/24,3.6,40,46.5,96,,
TAH5201-Fairway,12/27/24,4,38.2,42.3,96,,
TPZ1261 Cunningham,12/27/24,12.7,52.9,58.6,61,,
MUL1296-Sorensens,12/27/24,5.8,39.6,43.8,92,,
POR32 4th Avenue,12/27/24,3.4,43.3,50.6,97,26.9,41.3
GLS7600-Walden,12/26/24,3,32.7,35,96,31.9,32.9
TAH7300-DL Bliss,12/26/24,3.9,33.9,37.2,97,5.4,33
MUL1296-Woodfords,12/26/24,11.5,42.8,47.5,78,1.9,41.2
TPZ1261–Park Ranch,12/26/24,9.4,50.7,54.2,60,6.2,41.5
Meyers3400-Uplands,12/26/24,10.2,32.7,35.7,98,12.2,35
111Line-Columbine Trail,12/26/24,1.9,34,37.7,100,,32.9
POR31-Iron Horse,12/26/24,2.2,36,42.2,98,42.7,35
619Line-Sierra Valley West,12/26/24,10.8,40,45.2,95,,58.9
SQV8200-Squaw Valley,12/26/24,9.4,34.1,37.7,98,33.6,32.4
CEM41-Garbage Pit Rd,12/26/24,13.7,42,45.3,82,5.1,40.6
CAL204-Dog Valley,12/26/24,8.4,42.3,45.8,78,8.4,39.7
TRK7203-Northstar Golf Course,12/26/24,8.5,37.4,40.5,91,33.9,36.1
Hobart Sub,12/26/24,3.5,34.9,39.2,100,18.7,34.8
SRB51-Smithneck Rd,12/26/24,7.7,40.8,44,85,33.9,42.3
TRK7202-Cabin Tree,12/26/24,4.3,33.4,36.8,98,40.5,33.2
Muller1296-Emigrant Trail,12/26/24,17.2,45.3,50.2,72,10.1,39.7
STL3101 Ledge Ct.,12/26/24,8.5,33.6,37.8,96,6.5,34.8
TAH7300-Homewood,12/26/24,3.4,34.5,37.7,98,6.6,33.5
7400-Glenshire,12/26/24,3.5,36.1,39.9,94,4.7,35.4
MEY3300-Grass Lake Road,12/26/24,3.2,35.1,39.5,99,11.4,32.7
WSH201-Floriston,12/26/24,7.3,40.6,44.3,83,15.6,37.9
Washoe204-Fariad,12/26/24,13.6,41.2,45.8,86,27.7,38.4
MEY3400-Camp Richardson,12/26/24,6.5,36.8,43.4,96,8.8,35.5
MEY3500-STPD Office,12/26/24,2.3,35.6,40.8,96,9.9,36.9
621Line-I-80 Gravel Pit,12/26/24,5.9,36.4,40.1,93,5.5,36
7201-Alpine Meadows,12/26/24,4.5,33.5,36.4,99,20.5,33
MUL1296-Markleeville,12/26/24,6.6,41.3,47.1,84,8.4,39
TPZ1261-Eastside Lane,12/26/24,11.9,47,51.5,62,5.9,44.6
MEY3300-Tolteca,12/26/24,4.9,33.8,37.5,93,,
TAH-5201 Lake Forest,12/26/24,1.9,33.4,37.5,97,20.9,33.1
Tahoe-7300 Sugar Pine Point,12/26/24,1.4,33.5,37.5,98,18.8,33.4
SOK-257 Reno Park,12/26/24,15.7,41.4,46.2,83,8.1,38.5
SMP8700-Firecamp,12/26/24,2.1,35.3,40.2,96,,
TAH5201-Fairway,12/26/24,2.6,33.5,37,96,,
TPZ1261 Cunningham,12/26/24,12.4,48.1,52.2,69,,
MUL1296-Sorensens,12/26/24,3.3,34.9,39,93,,
POR32 4th Avenue,12/26/24,2.4,37.4,44.2,97,24.8,38.9
GLS7600-Walden,12/25/24,0.4,27.3,35.2,97,32.4,32.8
TAH7300-DL Bliss,12/25/24,1,29.2,38.5,89,5.4,32.9
MUL1296-Woodfords,12/25/24,3.4,34.3,46.9,80,1.9,40.7
TPZ1261–Park Ranch,12/25/24,2.6,37.1,53.4,83,6,39.5
TPZ1261-Walker,12/25/24,3.2,33.9,50.8,83,9.8,42.1
Meyers3400-Uplands,12/25/24,2.6,28.1,36.6,93,12.1,35.2
111Line-Columbine Trail,12/25/24,0.2,27.4,37,96,7.8,33.1
POR31-Iron Horse,12/25/24,0.4,27.7,34.5,98,42.7,34.4
619Line-Sierra Valley West,12/25/24,1.5,28.7,40,98,,58.9
SQV8200-Squaw Valley,12/25/24,2,27.1,38.5,95,34.9,32.4
CEM41-Garbage Pit Rd,12/25/24,3.5,29.8,44.5,95,5.1,40.1
CAL204-Dog Valley,12/25/24,2.6,34.7,46.1,87,8.3,39.3
TRK7203-Northstar Golf Course,12/25/24,1.6,28.8,40.1,97,31,35.3
Hobart Sub,12/25/24,0.2,27.4,38.6,98,18.3,34.6
SRB51-Smithneck Rd,12/25/24,4.4,30.3,42.8,95,33.9,42.7
TRK7202-Cabin Tree,12/25/24,0.2,27.9,34.9,97,40.4,33.3
Muller1296-Emigrant Trail,12/25/24,5.8,35.2,49.9,83,8.5,34.5
STL3101 Ledge Ct.,12/25/24,1.8,28.9,40.4,93,6.4,35.3
TAH7300-Homewood,12/25/24,0.7,28.6,37.8,96,6.4,33.7
7400-Glenshire,12/25/24,0.5,28.1,38.5,97,4.4,35.3
MEY3300-Grass Lake Road,12/25/24,0.8,26.6,35.8,98,10.8,32.6
WSH201-Floriston,12/25/24,2.2,32,43.9,93,14.7,36.2
Washoe204-Fariad,12/25/24,7.4,34.2,45.9,93,28.1,38
MEY3400-Camp Richardson,12/25/24,1.3,29.5,43.6,96,8.8,35.5
MEY3500-STPD Office,12/25/24,0.5,28.5,38.8,95,9.5,36.5
621Line-I-80 Gravel Pit,12/25/24,0.5,28.8,34.7,96,5.3,35.8
7201-Alpine Meadows,12/25/24,1.2,27.5,36.6,97,20.8,32.9
MUL1296-Markleeville,12/25/24,0.8,32.4,45.8,92,8,37.7
TPZ1261-Eastside Lane,12/25/24,6.7,34.6,51.3,73,5.8,39.6
MEY3300-Tolteca,12/25/24,1.5,27.9,37.7,90,,
TAH-5201 Lake Forest,12/25/24,0.1,27.5,33.5,94,20.4,33
Tahoe-7300 Sugar Pine Point,12/25/24,0.4,27.6,35.3,96,17.5,33.4
SOK-257 Reno Park,12/25/24,6.3,32.7,43.3,91,8.1,37.7
SMP8700-Firecamp,12/25/24,0.7,27.7,38.3,94,,
TAH5201-Fairway,12/25/24,0.5,27.5,35.7,96,,
TPZ1261 Cunningham,12/25/24,3.9,34.2,52.3,80,,
MUL1296-Sorensens,12/25/24,2.2,23,36.9,88,,
POR32 4th Avenue,12/25/24,0.6,28.7,34.6,97,25.6,38.4
GLS7600-Walden,12/24/24,2,32.7,43.2,96,34.2,32.6
TAH7300-DL Bliss,12/24/24,2,33.2,46.6,97,5.6,32.9
MUL1296-Woodfords,12/24/24,8.1,40.7,54.1,86,1.9,43.2
TPZ1261–Park Ranch,12/24/24,8.3,42.6,60.8,85,6,43.2
TPZ1261-Walker,12/24/24,4.6,30.5,63.6,81,9.8,43.8
Meyers3400-Uplands,12/24/24,7,32,46,97,13,36
111Line-Columbine Trail,12/24/24,1.8,33.7,46.2,98,7.9,33
POR31-Iron Horse,12/24/24,1.7,35.9,50.9,97,43.4,35.6
619Line-Sierra Valley West,12/24/24,8.1,38.2,51.8,96,,58.9
SQV8200-Squaw Valley,12/24/24,4.1,34.2,46.1,97,34.8,32.4
CEM41-Garbage Pit Rd,12/24/24,8.5,38.7,52.9,96,5.1,42.6
CAL204-Dog Valley,12/24/24,6.4,41.6,54.2,90,8.4,42
TRK7203-Northstar Golf Course,12/24/24,5.6,36.5,48.6,97,34.6,36.4
Hobart Sub,12/24/24,1.6,35,47.1,99,19.3,34.9
SRB51-Smithneck Rd,12/24/24,7.3,38.2,51.7,98,33.7,44
TRK7202-Cabin Tree,12/24/24,3.2,34,45.9,97,40.3,33.5
Muller1296-Emigrant Trail,12/24/24,12.4,42.6,56.1,84,10.4,39
STL3101 Ledge Ct.,12/24/24,2.3,32.5,44.3,96,7.1,37.2
TAH7300-Homewood,12/24/24,2.3,34.9,46.2,97,6.6,33.4
7400-Glenshire,12/24/24,2.5,36.1,48.1,97,4.9,35.2
MEY3300-Grass Lake Road,12/24/24,2,33.6,47,99,11.6,33.2
WSH201-Floriston,12/24/24,4.4,39.4,51.8,93,15.5,39.7
Washoe204-Fariad,12/24/24,9.9,40.7,52.7,90,29.1,40.7
MEY3400-Camp Richardson,12/24/24,4,35.3,48.5,97,9.2,35.7
MEY3500-STPD Office,12/24/24,1.5,34.6,46.8,97,9.8,37.8
621Line-I-80 Gravel Pit,12/24/24,3.5,36.5,48.8,97,5.8,37
7201-Alpine Meadows,12/24/24,3,34.2,45.4,98,21.7,32.7
MUL1296-Markleeville,12/24/24,3.4,38.7,51.7,92,9.2,40.7
TPZ1261-Eastside Lane,12/24/24,10.6,42,55.8,89,5.9,45.3
MEY3300-Tolteca,12/24/24,3.6,33.2,46.9,93,,
TAH-5201 Lake Forest,12/24/24,1.7,34.1,45.8,96,21.3,33
Tahoe-7300 Sugar Pine Point,12/24/24,0.8,33.9,45.7,97,20.1,33.4
SOK-257 Reno Park,12/24/24,11.7,39.4,51.4,94,8.1,41
SMP8700-Firecamp,12/24/24,1.6,34.2,46.9,96,,
TAH5201-Fairway,12/24/24,2.8,34.2,45.8,96,,
TPZ1261 Cunningham,12/24/24,8.4,39.4,58.6,87,,
MUL1296-Sorensens,12/24/24,1.7,30.8,43.9,93,,
POR32 4th Avenue,12/24/24,1.9,37.1,51.7,97,26.2,42.1
GLS7600-Walden,12/23/24,1.2,41,47.5,96,33.8,32.4
TAH7300-DL Bliss,12/23/24,1,41.2,45.9,93,5.5,32.7
MUL1296-Woodfords,12/23/24,2.3,47.9,55.5,82,1.8,44.1
TPZ1261–Park Ranch,12/23/24,0.7,50,61.9,85,6,46.6
Meyers3400-Uplands,12/23/24,5.8,41.8,47.5,95,13,35.9
111Line-Columbine Trail,12/23/24,0.4,38.6,49.4,98,7.5,33
POR31-Iron Horse,12/23/24,0.6,39.7,49.7,99,40.7,35
619Line-Sierra Valley West,12/23/24,2.3,40.7,50.2,99,,58.9
SQV8200-Squaw Valley,12/23/24,3.2,40.8,48.7,97,34.8,32.3
CEM41-Garbage Pit Rd,12/23/24,3.8,42.9,50,96,5,43
CAL204-Dog Valley,12/23/24,2.2,45.7,56.4,89,8.3,42.5
TRK7203-Northstar Golf Course,12/23/24,2.6,39.2,49.3,98,34.2,35.6
Hobart Sub,12/23/24,0.3,38,49.6,100,18.9,34.8
SRB51-Smithneck Rd,12/23/24,4.2,43.3,50.4,97,32.6,43.7
TRK7202-Cabin Tree,12/23/24,1.1,39.8,48.3,98,40.1,33.5
Muller1296-Emigrant Trail,12/23/24,6.5,49.3,55.7,78,9.6,44.9
STL3101 Ledge Ct.,12/23/24,2.6,40.9,45,85,4.8,39.2
TAH7300-Homewood,12/23/24,0.5,39.3,45.6,97,6.4,33.4
7400-Glenshire,12/23/24,1,37.8,47.7,98,4.8,35.1
MEY3300-Grass Lake Road,12/23/24,0.7,36.5,50.9,100,11.8,34.2
WSH201-Floriston,12/23/24,2.6,41,52.2,94,14.7,41.9
Washoe204-Fariad,12/23/24,5.5,45.1,53.6,94,27.7,40.7
MEY3400-Camp Richardson,12/23/24,1.3,39.8,46.8,98,9,35.8
MEY3500-STPD Office,12/23/24,0.4,37.5,50,99,9.5,39.8
621Line-I-80 Gravel Pit,12/23/24,1.1,37.2,49.8,98,5.6,36.7
7201-Alpine Meadows,12/23/24,1.6,40.4,48.7,100,21.5,32.8
MUL1296-Markleeville,12/23/24,1.5,45.2,55.9,91,7.2,42.1
TPZ1261-Eastside Lane,12/23/24,5.1,50.8,58.2,66,6,49.4
MEY3300-Tolteca,12/23/24,3,42.8,49.2,90,,
TAH-5201 Lake Forest,12/23/24,0.4,38.3,46.2,98,20.7,33.1
Tahoe-7300 Sugar Pine Point,12/23/24,0.6,39.1,45.9,98,20.7,33.4
SOK-257 Reno Park,12/23/24,5.6,45.5,52.2,90,8.2,41.3
SMP8700-Firecamp,12/23/24,0.4,36,49.8,98,,
TAH5201-Fairway,12/23/24,0.9,38.9,45.6,98,,
TPZ1261 Cunningham,12/23/24,4.2,47.4,60.9,84,,
MUL1296-Sorensens,12/23/24,1.7,36.7,49.4,94,,
POR32 4th Avenue,12/23/24,0.7,40.4,52.6,100,24.5,42.6
GLS7600-Walden,12/22/24,1.2,38.2,43.6,96,33.7,32.3
TAH7300-DL Bliss,12/22/24,1.8,38.9,43.4,97,5.6,32.5
MUL1296-Woodfords,12/22/24,4.1,47.2,55.4,87,1.8,43.3
BKY4201-Summit,12/22/24,1.7,,,100,15.9,34
TPZ1261–Park Ranch,12/22/24,4.7,55,61,72,5.9,45.4
Meyers3400-Uplands,12/22/24,6.6,38.8,43.1,98,13.5,35
111Line-Columbine Trail,12/22/24,1.2,39.5,45.5,98,6.7,32.8
POR31-Iron Horse,12/22/24,1.1,40.7,51.2,99,38.3,34.2
619Line-Sierra Valley West,12/22/24,4.2,42.8,51.3,98,,58.9
SQV8200-Squaw Valley,12/22/24,4.8,39.4,44.1,98,34.5,32.4
CEM41-Garbage Pit Rd,12/22/24,5.7,44.6,52.5,95,4.9,41.8
CAL204-Dog Valley,12/22/24,3.5,46.3,52.7,91,8.2,41.3
TRK7203-Northstar Golf Course,12/22/24,4.1,39.5,47.6,98,37.1,34.3
Hobart Sub,12/22/24,1.1,39,47.3,100,18.5,34.6
SRB51-Smithneck Rd,12/22/24,5.5,44.3,52.9,96,32.4,42.5
TRK7202-Cabin Tree,12/22/24,1.1,38.2,44.3,97,37,33.5
Muller1296-Emigrant Trail,12/22/24,9,48,55.9,90,10.3,44.2
STL3101 Ledge Ct.,12/22/24,5.5,40.2,45.6,93,8,37.6
TAH7300-Homewood,12/22/24,1.3,39.3,45.8,98,6.7,33.1
7400-Glenshire,12/22/24,1.2,38.4,47.2,98,4.6,35.1
MEY3300-Grass Lake Road,12/22/24,0.9,38.4,45.6,100,12.3,32.8
WSH201-Floriston,12/22/24,2.5,42.6,50.3,94,14.4,41
Washoe204-Fariad,12/22/24,7.6,45.6,51.6,92,27.6,39.8
MEY3400-Camp Richardson,12/22/24,2.3,41,46.8,99,9.2,35.7
MEY3500-STPD Office,12/22/24,1,40.7,48.4,98,9.6,37.9
621Line-I-80 Gravel Pit,12/22/24,1.3,38.5,47.8,97,6.2,34.7
7201-Alpine Meadows,12/22/24,2.4,39.1,43.5,100,21.6,32.9
MUL1296-Markleeville,12/22/24,4.2,46.2,51,86,7.3,40.7
TPZ1261-Eastside Lane,12/22/24,8.2,51.6,57.7,74,6.1,49
MEY3300-Tolteca,12/22/24,3.5,39.9,44.6,92,,
TAH-5201 Lake Forest,12/22/24,0.9,38.8,46,98,20.4,33.2
